word_decimal	rank	phase
15222166596505654	104900	0
15222432913838140	104898	0
15226427136962710	104893	0
15226434653155542	104809	0
15226434655252662	92879	0
15226434655776946	92878	0
15226434655776950	92863	0
15226434655777456	92861	0
15226434655777462	92831	0
15228617029243036	92830	0
15228617566105756	92829	0
15228633678508214	92823	0
15228633678508216	92822	0
15228771117453494	92820	0
15228771117453496	92819	0
15229166785024156	92818	0
15230816053022866	92817	0
15230816053023376	92814	0
15230825181376694	92811	0
15230962620321974	92807	0
15230962620324016	92805	0
15230962620324022	92801	0
15360558357992028	92898	1
15360558358074586	94527	0
15360567484880954	94498	0
15360567484880970	92800	0
15360567484880986	94493	0
15360567484881076	94488	0
15360567551989936	92793	0
15360704921736314	92898	1
15360704921736376	94468	0
15360704921737274	94466	0
15360704927504438	92778	0
15360710365829296	92776	0
15360710365829302	92763	0
15360968191433264	92750	0
15360968191433296	92737	0
15360971211283004	92734	0
15360971211283036	92728	0
15361108111660156	92898	1
15361108111660248	94409	0
15361108113773268	94392	0
15361108180882128	92713	0
15361114090527856	92711	0
15362903950645302	92693	0
15363167214524976	92686	0
15363167214557744	92679	0
15363167214557776	92654	0
15363167231302192	92648	0
15363170234423868	92644	0
15363235950778928	92640	0
15363235950779184	92633	0
15363304653478448	92628	0
15363307137012946	92618	0
15363307170567376	92612	0
15363313243412528	92608	0
15363313243412538	92607	0
15371553470026966	104284	0
15371553470026967	92606	0
15371553470026968	104283	0
15371553470075480	92898	1
15371553474221266	92605	0
15371553507775696	92594	0
15371554006897846	94358	0
15371554006897847	92592	0
15371554006897848	94354	0
15371554011092146	92588	0
15371554044646576	92569	0
15371559446436016	92564	0
15371562596701306	92898	1
15371562596701366	94317	0
15380828136823600	92557	0
15380832431790896	92552	0
15380832432839472	92547	0
15395743266903196	94782	0
15395743269132854	94766	0
15395743269132916	94762	0
15395743336241776	94749	0
15395751856969786	94738	0
15395751856969802	94736	0
15395751856969818	94726	0
15395751859066934	94718	0
15395759379190906	97571	0
15395759379346008	97481	0
15395886143920336	92545	0
